Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
James M.,MON,31,1,3,25,-,-,8,11,5,10,-,1,12,-,1,1,2,2,-,-,-
Hifi N.,PAR,18,2,2,23,-,-,4,10,2,5,4,4,-10,-,2,4,1,2,-,1,-
Shorts T.,PAR,17,7,6,28,-,-,6,9,-,2,5,6,7,2,5,3,-,-,-,-,-
Okobo E.,MON,15,3,3,21,-,-,5,7,1,3,2,2,-7,-,3,3,-,3,-,-,-
Blossomgame J.,MON,13,6,1,30,-,-,4,5,1,3,2,2,14,3,3,3,-,-,-,-,-
Simon J.,PAR,11,6,1,25,-,-,3,7,-,-,5,8,-1,3,3,-,2,3,1,1,-
Diallo A.,MON,10,5,-,26,-,-,3,6,-,-,4,8,14,2,3,3,1,-,-,-,-
Jantunen M.,PAR,8,1,1,25,-,-,-,2,2,4,2,2,-2,-,1,3,2,2,-,-,-
Hall D.,MON,6,10,1,17,-,-,2,3,-,-,2,4,-2,1,9,1,-,-,2,-,-
Strazel M.,MON,6,2,3,17,-,-,-,-,1,3,3,4,13,-,2,2,1,1,-,-,-
Ward T.,PAR,6,5,1,31,-,-,3,4,-,5,-,1,-2,2,3,1,-,-,-,-,-
Herrera S.,PAR,5,2,1,19,-,-,1,1,1,5,-,-,-1,2,-,1,1,-,1,-,-
Jaiteh M.,MON,4,7,-,19,-,-,2,3,-,-,-,-,9,3,4,2,-,2,1,-,-
Kessens M.,PAR,4,4,-,8,-,-,1,2,-,-,2,2,-11,2,2,2,1,-,-,-,-
Kratzer L.,PAR,4,2,-,14,-,-,2,3,-,-,-,-,-11,-,2,2,-,1,-,-,-
Shahrvin E.,PAR,4,4,1,7,-,-,2,2,-,-,-,-,3,-,4,1,-,-,-,-,-
Loyd J.,MON,3,2,1,19,-,-,1,3,-,3,1,2,1,-,2,3,-,2,-,1,-
Ouattara Y.,MON,2,-,-,13,-,-,1,2,-,1,-,-,-3,-,-,2,-,-,-,1,-
Sy B.,PAR,2,2,-,9,-,-,1,3,-,1,-,-,-8,1,1,2,-,-,-,-,-
Ngouama M.,PAR,1,-,-,11,-,-,-,3,-,2,1,2,-14,-,-,2,-,-,-,1,-
Cornelie P.,MON,-,5,1,13,-,-,-,3,-,1,-,-,-1,2,3,3,-,1,-,-,-
